service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
43,0,0,0,0,0,1,0,20251213,20251227
44,0,0,0,0,0,0,1,20251214,20251228
47,0,0,0,0,0,1,0,20251213,20260103
87,0,0,0,0,1,0,0,20251212,20251212
88,0,0,0,0,0,1,0,20251213,20251213
103,1,0,0,0,0,0,0,20251215,20260105
104,0,1,0,0,0,0,0,20251216,20260106
105,0,0,1,0,0,0,0,20251217,20260107
106,0,0,0,1,0,0,0,20251218,20251218
107,0,0,0,0,1,0,0,20251212,20260102
108,0,0,1,0,0,0,0,20251224,20251224
109,0,0,0,1,0,0,0,20260108,20260423
110,0,0,0,0,1,0,0,20260109,20260424
111,1,0,0,0,0,0,0,20260112,20260427
112,0,1,0,0,0,0,0,20260113,20260421
113,0,0,1,0,0,0,0,20260114,20260422
114,0,0,0,0,0,1,0,20260110,20260425
115,0,0,0,0,0,0,1,20251214,20260104
116,0,0,0,0,0,0,0,20251226,20251226
117,0,0,0,0,0,0,1,20260111,20260426
128,1,1,1,1,0,0,0,20251215,20251218
129,0,0,0,0,1,0,0,20251212,20251219
130,0,0,0,0,0,1,0,20251213,20251220
131,0,0,0,0,0,0,1,20251214,20251221
133,1,1,1,1,1,0,0,20251215,20251223
134,0,0,0,0,0,1,0,20251220,20251220
136,0,0,0,0,1,0,0,20251219,20251219
137,0,0,0,0,0,0,1,20251214,20251214
138,0,0,0,0,0,0,1,20251221,20251221
184,0,0,0,0,0,0,0,20260102,20260102
233,0,0,0,0,0,0,0,20251229,20251229
234,0,0,0,0,0,0,0,20251231,20251231
238,0,0,0,0,0,0,0,20251230,20251230
242,0,0,0,0,0,0,0,20260101,20260101
278,0,0,0,0,0,0,0,20260112,20260115
279,0,0,0,0,0,0,0,20260119,20260122
280,0,0,0,0,0,0,0,20260126,20260129
282,0,0,0,0,0,0,0,20260209,20260212
283,0,0,0,0,0,0,0,20260216,20260219
322,0,0,0,0,1,1,1,20251219,20251221
323,1,1,1,1,1,0,0,20251215,20261002
324,0,0,0,0,0,1,0,20251220,20261003
325,0,0,0,0,0,0,0,20251229,20251231
326,0,0,0,0,0,0,0,20260131,20260131
327,0,0,0,0,0,0,1,20251214,20261004
328,0,0,0,0,0,0,0,20260202,20260202
329,0,0,0,0,0,0,0,20260201,20260201
330,0,0,0,0,0,0,1,20251221,20261004
331,0,0,0,0,0,1,0,20251220,20261003
332,0,0,0,0,0,0,0,20260110,20260110
333,0,0,0,0,0,0,1,20251228,20261004
334,0,0,0,0,0,1,0,20251220,20261003
335,0,0,0,0,0,0,0,20260103,20260103
336,0,0,0,0,0,1,0,20251220,20261003
337,1,1,1,1,1,0,0,20251215,20261002
338,0,0,0,0,1,1,0,20251219,20251220
339,0,0,0,0,0,0,1,20251214,20261004
340,0,0,0,0,0,0,1,20251228,20261004
341,0,0,0,0,0,0,0,20251229,20251230
342,1,1,1,1,1,0,0,20251215,20261002
343,0,0,0,0,0,1,0,20251220,20261003
344,0,0,0,0,1,1,0,20251212,20251213
345,1,1,1,1,1,1,0,20251215,20261003
346,1,1,1,1,1,0,0,20251215,20261002
347,1,1,1,1,1,1,0,20251215,20261003
348,1,1,1,1,1,0,0,20251215,20261002
349,0,0,0,0,0,1,0,20251220,20261003
350,1,1,1,1,1,1,0,20251215,20261003
351,1,1,1,1,0,1,0,20251215,20261003
352,0,0,0,0,1,0,0,20251219,20261002
353,1,1,1,1,1,1,0,20251215,20261003
354,1,1,1,1,1,1,0,20251215,20261003
355,0,0,0,0,0,0,0,20251227,20251227
356,1,1,1,1,0,0,0,20251215,20261001
357,0,0,0,0,0,0,1,20251221,20261004
358,0,0,0,0,0,1,0,20251220,20261003
359,1,1,1,1,1,0,0,20251215,20261002
360,1,1,1,1,0,0,0,20251215,20261001
361,0,0,0,0,1,0,0,20251219,20261002
362,1,1,1,1,1,0,0,20251215,20261002
363,1,1,1,1,1,1,0,20251215,20261003
364,1,1,1,1,0,0,0,20251215,20261001
365,0,0,1,0,0,0,0,20251224,20251227
366,1,1,1,1,1,1,0,20251215,20261003
367,1,1,1,1,1,1,0,20251215,20261003
368,1,1,1,1,1,1,0,20251219,20261003
369,1,1,0,0,0,0,0,20251222,20251223
370,1,1,1,1,1,1,0,20251215,20261003
371,1,1,1,1,1,1,0,20251215,20261003
372,1,1,1,1,1,1,0,20251215,20261003
373,1,1,1,1,1,1,0,20251215,20261003
374,1,1,1,1,1,0,0,20251215,20261002
375,1,1,1,1,1,0,0,20251215,20261002
376,1,1,1,1,1,0,0,20251215,20261002
377,1,1,1,1,1,0,0,20251215,20261002
378,1,1,1,1,1,1,0,20251215,20261003
379,0,0,0,0,0,0,1,20251214,20261004
380,1,0,0,0,0,0,0,20251215,20260928
381,0,1,1,1,1,0,0,20251216,20261002
382,1,1,1,1,1,1,0,20251215,20261003
383,1,1,1,1,1,1,0,20251215,20261003
384,0,0,0,0,0,0,0,20260105,20260108
385,0,0,0,0,0,0,0,20260223,20260226
386,0,0,0,0,0,0,0,20260302,20260305
387,0,0,0,0,0,0,0,20260309,20260312
388,0,0,0,0,0,0,0,20260316,20260319
389,0,0,0,0,0,0,0,20260203,20260205
390,0,0,0,0,0,0,0,20260324,20260326
391,1,1,1,1,1,1,0,20251215,20261003
392,0,0,0,0,1,1,0,20251219,20261003
393,1,1,1,1,0,1,0,20251215,20261003
394,1,1,1,1,0,1,0,20251215,20261003
395,0,1,0,0,0,0,0,20251223,20251223
396,1,1,1,1,1,1,0,20251215,20261003
397,1,1,1,1,1,1,0,20251215,20261003
398,1,1,1,1,1,1,0,20251218,20261003
399,1,1,1,0,0,0,0,20251215,20251217
400,1,1,1,1,1,1,0,20251218,20261003
401,1,1,1,1,1,0,0,20251215,20261002
402,0,0,0,0,1,0,0,20260102,20260320
403,1,1,1,1,0,0,0,20251222,20260319
404,0,0,0,0,0,1,0,20251224,20260321
405,0,0,0,0,0,0,1,20251226,20260317
406,1,0,0,0,0,0,0,20251215,20260518
407,0,1,0,0,0,0,0,20251216,20260519
408,0,0,1,0,0,0,0,20251217,20260520
409,0,0,0,1,0,0,0,20251218,20260521
410,0,0,0,0,1,0,0,20251219,20260522
411,0,0,0,0,0,1,0,20251220,20260523
412,0,0,0,0,0,0,0,20260202,20260504
413,0,0,0,0,0,0,0,20260317,20260317
414,0,0,0,0,0,0,1,20251214,20260517
415,1,0,0,0,0,0,0,20260119,20260316
416,0,0,1,0,0,0,0,20260121,20260318
417,0,1,0,0,0,0,0,20260120,20260310
418,1,0,0,0,0,0,0,20251215,20251215
419,0,1,0,0,0,0,0,20251216,20251216
420,0,0,1,0,0,0,0,20251217,20251217
421,1,0,0,0,0,0,0,20251222,20251222
422,0,0,0,0,0,1,0,20251227,20260314
423,0,0,0,0,0,0,0,20260106,20260113
424,0,0,0,0,0,0,0,20260105,20260112
425,0,0,0,0,0,0,0,20260108,20260115
426,0,0,0,0,0,0,0,20260107,20260114
427,0,0,0,1,0,0,0,20260122,20260319
428,0,0,0,0,0,0,0,20260109,20260116
429,0,0,0,0,0,1,0,20260131,20260627
430,0,0,0,0,1,0,0,20260123,20260320
431,0,1,0,0,0,0,0,20260324,20260630
432,0,0,0,0,0,0,0,20260323,20260629
433,0,0,0,1,0,0,0,20260326,20260625
434,0,0,1,0,0,0,0,20260325,20260624
435,0,0,0,0,0,0,0,20260327,20260626
436,0,0,0,0,0,0,1,20251228,20260628
437,1,1,1,1,1,0,0,20260102,20261210
438,0,0,0,0,1,0,0,20260102,20261204
439,0,0,0,0,0,1,0,20260103,20261205
440,1,1,1,1,1,0,1,20260102,20261210
441,0,0,0,0,0,1,0,20251220,20260613
442,1,0,0,0,0,0,0,20251215,20260608
443,0,1,0,0,0,0,0,20251216,20260609
444,0,0,1,0,0,0,0,20251217,20260610
445,0,0,0,1,0,0,0,20251218,20260611
446,0,0,0,0,1,0,0,20251219,20260612
447,0,0,0,0,0,0,0,20251222,20260330
448,0,0,0,0,0,0,0,20251223,20260407
449,0,0,0,0,0,0,0,20251231,20260408
450,0,0,0,0,0,0,0,20260102,20260410
451,0,0,0,0,0,0,0,20260219,20260409
452,0,0,0,0,0,0,1,20251214,20260607
453,0,0,0,0,0,0,0,20260202,20260601
454,1,1,1,1,0,0,0,20251215,20251230
455,1,1,1,1,0,0,1,20251214,20251230
