route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5146_116052,7778006,120,Dublin - Edenderry,,3,,,
5146_116053,7778006,125,UCD - Newbridge,,3,,,
5146_116054,7778006,126,Dublin - Rathangan,,3,,,
5146_116055,7778006,130,Dublin - Athy,,3,,,
5146_116056,7778006,120A,Dublin - Edenderry,,3,,,
5146_116057,7778006,120B,Dublin - Newbridge,,3,,,
5146_116058,7778006,120C,Enfield - Tullamore,,3,,,
5146_116059,7778006,120D,Enfield - Tullamore,,3,,,
5146_116060,7778006,120E,Dublin - Edenderry,,3,,,
5146_116061,7778006,120F,Connolly Station - Newbridge Centre,,3,,,
5146_116062,7778006,120X,Dublin - Edenderry,,3,,,
5146_116063,7778006,126A,Dublin - Kildare,,3,,,
5146_116064,7778006,126B,Dublin - Rathangan,,3,,,
5146_116065,7778006,126D,Dublin - Kildare,,3,,,
5146_116066,7778006,126E,Dublin - Kildare,,3,,,
5146_116067,7778006,126T,Dublin - Kildare,,3,,,
5146_116068,7778006,126U,Dublin UCD - Kildare,,3,,,
5146_116069,7778006,126N,Dublin - Newbridge,,3,,,
5146_116070,7778006,126X,Dublin - Rathangan,,3,,,
5146_116071,7778006,130A,Dublin - Athy,,3,,,
5165_116940,7778021,59,Dun Laoghaire - Killiney Hill Park,,3,,,
5165_116941,7778021,73,Kilnamanagh Road - Griffith Avenue East,,3,,,
5165_116942,7778021,102,Dublin Airport - Sutton DART,,3,,,
5165_116943,7778021,104,Clontarf Station - DCU (The Helix),,3,,,
5165_116944,7778021,111,Brides Glen - Kilbogget Pk,,3,,,
5165_116945,7778021,114,Ticknock - Blackrock,,3,,,
5165_116946,7778021,161,Rockbrook - Dundrum,,3,,,
5165_116947,7778021,197,"Airside Ind. Estate, stop 7210 - Ashbourne Retail Pk, stop 101001",,3,,,
5165_116948,7778021,220,DCU (The Helix) - Lady's Well Road,,3,,,
5165_116949,7778021,236,Blanchardstown - IBM Campus,,3,,,
5165_116950,7778021,238,Tyrrelstown - Mulhuddart,,3,,,
5165_116951,7778021,270,Dunboyne - Blanchardstown,,3,,,
5165_116952,7778021,33A,Dublin Airport - Balbriggan,,3,,,
5165_116953,7778021,33B,Swords - Portrane,,3,,,
5165_116954,7778021,33T,Skerries - Donabate,,3,,,
